Genre,NA_sales,EU_sales,JP_sales
Sports,683.35,376.85,135.37
Platform,447.05,201.63000000000002,130.77
Racing,359.41999999999996,238.39000000000001,56.68999999999999
Role-Playing,327.28,188.05999999999997,352.31
Puzzle,123.78,50.779999999999994,57.309999999999995
Misc,410.24,215.98000000000002,107.76
Shooter,582.6,313.27000000000004,38.28
Simulation,183.30999999999997,113.38000000000001,63.7
Action,877.83,525.0,159.95000000000002
Fighting,223.58999999999997,101.32000000000001,87.35000000000001
Adventure,105.80000000000001,64.13,52.07
Strategy,68.69999999999999,45.339999999999996,49.46000000000001
